"NAME","PHYLUM","CLASS","Sage1_L_100_16","Sage1_L_113_16","Sage1_L_20_16","Sage1_L_40_16","Sage1_L_60_16","Sage1_L_80_16","Sage1_R_100_16","Sage1_R_113_16","Sage1_R_20_16","Sage1_R_40_16","Sage1_R_60_16","Sage1_R_80_16","Sage2_L_100_16","Sage2_L_115_16","Sage2_L_20_16","Sage2_L_40_16","Sage2_L_60_16","Sage2_L_80_16","Sage2_R_100_16","Sage2_R_115_16","Sage2_R_20_16","Sage2_R_40_16","Sage2_R_60_16","Sage2_R_80_16"
"scaffold_4680866","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.898378031,1.03063636,0,0,1.092952301,0.873396626,1.447555772,1.578587722,0,1.382436458,1.395008369,1.156755014
"scaffold_4682120","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,1.03063636,0,0,0.980411101,0.873396626,1.41715761,1.617190324,0,0,0,1.157093218
"scaffold_4683182","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.896685786,1.03063636,0,0,1.078684173,0.866434888,1.408454654,1.377204372,0,1.234082787,1.155809633,1.142417365
"scaffold_4686007","Undefined","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,1.03063636,0,0.712196328,0,0.849912439,1.446147087,1.618692627,0,0,0,1.150177033
"scaffold_4692420","Pseudomonadota","GammaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.898659871,1.029487948,0,0,0,0.74742076,1.398595843,1.611277544,0,0,0,0.921266124
"scaffold_4696172","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.896490119,1.03063636,0,0,0,0,1.379033039,1.615244198,0,0,0,0
"scaffold_4702075","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.8960547,1.03063636,0,0,0,0.776700864,1.364170178,1.557019634,0,0,0,1.017456206
"scaffold_4708971","Actinomycetota","Actinomycetia",0,0,0,0,0,0,0,0,0,0,0,0,0.894643319,1.03063636,0,0.773030799,0,0.870341604,1.389472492,1.540997898,0,0,1.234621013,1.117335751
"scaffold_4716682","Pseudomonadota","GammaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.793321721,1.03063636,0,0,0,0.760762715,1.282502337,1.579238564,0,0,0,0
"scaffold_4720955","Pseudomonadota","AlphaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.69736006,1.03063636,0,0,0,0,1.365954243,1.532997135,0,0,0,0
"scaffold_4724707","Pseudomonadota","AlphaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.827203088,1.01813538,0,0.611064748,0.885139155,0.795807145,1.125940227,1.438353107,0,1.226052925,1.08027557,0.983909806
